loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_facility,fst_logg
352,HD 10180,g,HD 10180 g,Radial Velocity,0,6,604.67,1.427,0.263,44.79309232,0.0732,179.9038436,15.83429512,0,0,0,24.473234,-60.511528,39,7.321,V (Johnson),5911,1.06,1.11,25-06-2015,La Silla Observatory,4.39
353,HD 10180,h,HD 10180 h,Radial Velocity,0,6,2205,3.381,0.095,170.0196139,0.2066,58.56787876,36.20581006,0,0,0,24.473234,-60.511528,39,7.321,V (Johnson),5911,1.06,1.11,25-06-2015,La Silla Observatory,4.39
354,HD 101930,b,HD 101930 b,Radial Velocity,0,1,70.46,0.3,0.11,222.8956275,0.25,232.9517016,150.7703805,0,0,0,175.875458,-58.006886,30.05,8.21,V (Johnson),5108,0.57,0.86,06-09-2018,La Silla Observatory,4.33
355,HD 102117,b,HD 102117 b,Radial Velocity,0,1,20.8133,0.15,0.12,247.0376361,0.17,316.739725,177.9142098,0,0,0,176.210251,-58.703709,39.62,7.47,V (Johnson),5655,1.06,1.23,06-09-2018,La Silla Observatory,4.29
356,HD 102195,b,HD 102195 b,Radial Velocity,0,1,4.11377,0.05,0,161.2824302,0.41,17.39831528,315.1757275,0,0,0,176.426224,2.821483,29.36,8.062,V (Johnson),5301,0.76,0.82,06-09-2018,Kitt Peak National Observatory,4.49
357,HD 102272,b,HD 102272 b,Radial Velocity,0,1,127.58,0.51,0.05,235.2897466,4.94,13.23344016,309.1695698,0,0,0,176.598068,14.123986,350.01,8.69,V (Johnson),4790,1.45,10.3,06-09-2018,McDonald Observatory,2.58
358,HD 102329,b,HD 102329 b,Radial Velocity,0,2,778.09998,1.81,0.21,230.9375444,8.16,230.9312319,23.73933582,0,0,0,176.694351,3.474293,218.42,8.04,V (Johnson),4745,3.21,9.82,06-09-2018,W. M. Keck Observatory,2.96
359,HD 102329,c,HD 102329 c,Radial Velocity,0,2,1123,200.9473738,0.209,255.1051623,1.52,175.9649357,233.8036689,0,0,0,176.694351,3.474293,218.42,8.04,V (Johnson),4745,3.21,9.82,29-11-2018,W. M. Keck Observatory,2.96
360,HD 102365,b,HD 102365 b,Radial Velocity,0,1,122.1,0.46,0.34,21.21773332,0.05,250.9845006,293.1489759,0,0,0,176.629471,-40.500355,9.29,4.91,V (Johnson),5630,0.85,38.95822427,14-05-2014,Anglo-Australian Telescope,4.57
361,HD 102843,b,HD 102843 b,Radial Velocity,0,1,3090.942,4.074,0.11,28.77492934,0.35837,204.8136243,161.1281424,0,0,0,177.587204,-1.252453,62.87,9.268,V (Johnson),5436,0.95,165.2359626,23-05-2019,Las Campanas Observatory,22.24090671
362,HD 102956,b,HD 102956 b,Radial Velocity,0,1,6.4947,0.0807,0.037,114.1841579,0.96,141.2923773,115.3157789,0,0,0,177.843796,57.640736,122.32,7.86,V (Johnson),4985,1.66,4.55,06-12-2018,W. M. Keck Observatory,3.38
363,HD 103197,b,HD 103197 b,Radial Velocity,0,1,47.84,0.25,0,326.5860895,0.09,278.3279332,182.2991872,0,0,0,178.220749,-50.292824,57.24,9.391,V (Johnson),5250,0.8,0.88,06-09-2018,La Silla Observatory,4.45
