loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_facility,fst_logg
1,11 Com,b,11 Com b,Radial Velocity,0,1,326.03,1.29,0.231,324.5360372,19.4,284.1036885,256.6982931,0,0,0,185.179276,17.792868,93.37,4.74,V (Johnson),4742,2.7,19,14-05-2014,Xinglong Station,2.31
2,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,1.53,0.08,100.4716734,14.74,255.0886574,180.9790975,0,0,0,229.274536,71.823898,125.72,5.016,V (Johnson),4213,2.78,29.79,06-09-2018,Thueringer Landessternwarte Tautenburg,1.93
3,14 And,b,14 And b,Radial Velocity,0,1,185.84,0.83,0,47.11966813,4.8,196.9939711,60.65001298,0,0,0,352.822571,39.236198,75.59,5.227,V (Johnson),4813,2.2,11,14-05-2014,Okayama Astrophysical Observatory,2.63
4,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.93,0.37,311.7300823,4.66,146.9505976,322.05399,0,0,0,242.601303,43.817646,17.94,6.61,V (Johnson),5338,0.9,0.93,06-09-2018,W. M. Keck Observatory,4.45
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.66,0.68,314.9792245,1.78,302.4503503,304.623516,0,0,0,295.466553,50.517525,21.15,6.25,V (Johnson),5750,1.08,1.13,06-09-2018,Multiple Observatories,4.36
6,18 Del,b,18 Del b,Radial Velocity,0,1,993.3,2.6,0.08,295.092525,10.3,311.9420302,233.9900686,0,0,0,314.608063,10.839286,76.38,5.506,V (Johnson),4979,2.3,8.5,14-05-2014,Okayama Astrophysical Observatory,2.82
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,44.47281785,330,225.5102535,15.85496942,8,99.36071302,92.10786251,0,0,0,242.376268,-21.083036,145,303.4799145,157.4131391,4060,0.85,66.34496347,01-04-2015,Gemini Observatory,54.56114954
8,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.19,0.042,99.23486855,0.91,328.831366,182.7105693,0,0,0,217.157547,49.844852,96.25,5.58,V (Johnson),4893,0.99,10.64,26-04-2018,Okayama Astrophysical Observatory,2.42
9,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,1.333,0.09,201.3542696,1.99,65.07492075,325.6971357,0,0,0,155.86821,-0.902244,72.21,6.441,V (Johnson),5098,1.54,4.9,14-05-2014,Lick Observatory,3.5
10,24 Sex,c,24 Sex c,Radial Velocity,0,2,883,2.08,0.29,270.7037102,0.86,128.7452043,28.86648762,0,0,0,155.86821,-0.902244,72.21,6.441,V (Johnson),5098,1.54,4.9,14-05-2014,Lick Observatory,3.5
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,261.7202899,52,322.729142,6.87731781,24.5,209.4584949,261.5284088,0,0,0,20.712243,-24.664049,36,14.24,V (Johnson),3530,0.4,116.2590435,14-05-2014,W. M. Keck Observatory,72.4509688
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,230.5992449,156,19.46657223,112.4736799,13.9,1.44,300.4711653,0,0,0,34.842106,-39.422928,39.4,41.08509688,223.3063844,3064,0.11,0.28,14-05-2015,Cerro Tololo Inter-American Observatory,4.59
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,291.9110294,15,155.4238188,163.5783478,7.5,14.39356648,127.9127724,0,0,0,70.437073,23.030941,140,132.5706611,155.8821392,29.05570158,0.02,260.347618,14-05-2014,Hubble Space Telescope,240.899926
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,300.1398317,46,6.096210657,259.7132558,4,81.08369381,266.1475674,0,0,0,181.889447,-39.548332,64.42,20.15,V (Johnson),149.7957889,0.02,200.3633191,14-05-2014,Paranal Observatory,189.1948467
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416,0.92,284.6437581,202.4091398,1.9,234.0326903,139.5704802,0,1,0,294.635865,46.066418,400.77,12.264,Kepler-band,162.9378966,0.48,156.7122125,04-06-2015,Kepler,3.91
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.5,161.2406827,0.26,46.2,20.95,0.92,246.8060069,0,0,0,325.122159,16.421759,25,179.8195383,228.0386004,2300,0.08,0.12,14-05-2014,W. M. Keck Observatory,100.0613608
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,61.31320953,230,256.3487279,52.50147596,12.5,54.91715557,214.2271577,0,0,0,339.102203,47.86182,74,12.51,V (Johnson),4045,0.6,100.4648067,10-11-2016,W. M. Keck Observatory,137.1771318
18,30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001,0.99,0.29,146.3799764,13.82,243.7827082,260.7313195,0,0,0,39.240585,24.648064,44.71,6.962,V (Johnson),6331,1.93,1.41,06-09-2018,Thueringer Landessternwarte Tautenburg,4.43
19,4 UMa,b,4 UMa b,Radial Velocity,0,1,269.3,0.87,0.432,209.5204749,7.1,24.4905577,71.38013274,0,0,0,130.053406,64.327934,73.58,4.61,V (Johnson),4415,1.23,18.11,14-05-2014,Thueringer Landessternwarte Tautenburg,1.8
20,42 Dra,b,42 Dra b,Radial Velocity,0,1,479.1,1.19,0.38,266.3561698,3.88,74.70238967,170.0122989,0,0,0,276.496399,65.563484,90.86,4.82,V (Johnson),4200,0.98,22.03,14-05-2014,Thueringer Landessternwarte Tautenburg,1.71
21,47 UMa,b,47 UMa b,Radial Velocity,0,3,1078,2.1,0.032,71.80589215,2.53,300.7723052,131.6370288,0,0,0,164.866562,40.430256,13.8,5.05,V (Johnson),5892,1.03,1.23,14-05-2014,Lick Observatory,4.27
22,47 UMa,c,47 UMa c,Radial Velocity,0,3,2391,3.6,0.098,84.94117447,0.54,233.9327904,30.94378333,0,0,0,164.866562,40.430256,13.8,5.05,V (Johnson),5892,1.03,1.23,14-05-2014,Lick Observatory,4.27
23,47 UMa,d,47 UMa d,Radial Velocity,0,3,14002,11.6,0.16,250.9616011,1.64,58.44299087,89.50582808,0,0,0,164.866562,40.430256,13.8,5.05,V (Johnson),5892,1.03,1.23,14-05-2014,Lick Observatory,4.27
24,51 Eri,b,51 Eri b,Imaging,0,1,11688,12,0.45,133,22.75860709,266.585955,296.7553054,0,0,0,69.400551,-2.473548,29.4,5.23,V (Johnson),45.6316499,1.75,319.8473891,11-07-2019,Gemini Observatory,18.12288983
25,51 Peg,b,51 Peg b,Radial Velocity,0,1,4.230785,0.0527,0.013,164.5161328,0.472,74.06435452,305.8724955,0,0,0,344.366577,20.768833,15.47,5.5,V (Johnson),5793,1.12,1.2,14-05-2014,Haute-Provence Observatory,4.33
26,55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152,0.115227,0.0034,90,0.8306,238.6766358,66.0159734,0,0,0,133.149216,28.330818,12.59,5.96,V (Johnson),5196,0.91,0.94,29-10-2014,Lick Observatory,4.45
27,55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.4175,0.241376,0.02,90,0.1714,215.1977319,71.03536158,0,0,0,133.149216,28.330818,12.59,5.96,V (Johnson),5196,0.91,0.94,29-10-2014,McDonald Observatory,4.45
28,55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825,5.503,0.019,90,3.878,61.48181644,9.086232049,0,0,0,133.149216,28.330818,12.59,5.96,V (Johnson),5196,0.91,0.94,29-10-2014,Lick Observatory,4.45
29,55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,0.01544,120.9259032,83.3,0.02542,0.17,6.4,0,0,0,133.149216,28.330818,12.59,5.96,V (Johnson),5196,0.91,0.94,31-01-2019,McDonald Observatory,4.45
30,55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262,0.788,0.305,90,0.141,61.39254169,302.9421455,0,0,0,133.149216,28.330818,12.59,5.96,V (Johnson),5196,0.91,0.94,29-10-2014,Multiple Observatories,4.45
31,6 Lyn,b,6 Lyn b,Radial Velocity,0,1,934.3,2.11,0.073,88.77601538,2.01,220.2088684,63.51095813,0,0,0,97.696281,58.162632,54.74,5.86,V (Johnson),4938,1.44,5.2,06-12-2018,Okayama Astrophysical Observatory,3.19
32,61 Vir,b,61 Vir b,Radial Velocity,0,3,4.215,0.050201,0.12,97.15704355,0.016,154.3528408,158.3037684,0,0,0,199.601318,-18.311195,8.51,4.74,V (Johnson),5577,0.94,0.96,14-05-2014,Multiple Observatories,4.34
33,61 Vir,c,61 Vir c,Radial Velocity,0,3,38.021,0.2175,0.14,137.7311952,0.057,250.6682258,156.3112585,0,0,0,199.601318,-18.311195,8.51,4.74,V (Johnson),5577,0.94,0.96,14-05-2014,Multiple Observatories,4.34
34,61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01,0.476,0.35,40.23759962,0.072,264.4726027,198.45552,0,0,0,199.601318,-18.311195,8.51,4.74,V (Johnson),5577,0.94,0.96,14-05-2014,Multiple Observatories,4.34
35,7 CMa,b,7 CMa b,Radial Velocity,0,2,735.1,1.758,0.06,90,1.85,217.4990202,106.4383077,0,0,0,99.17099,-19.255878,19.82,3.92,V (Johnson),4826,1.34,4.87,24-10-2019,Anglo-Australian Telescope,3.19
36,7 CMa,c,7 CMa c,Radial Velocity,0,2,996,2.153,0.08,90,0.87,216.4777519,132.4107226,0,0,0,99.17099,-19.255878,19.82,3.92,V (Johnson),4826,1.34,4.87,24-10-2019,Multiple Observatories,3.19
37,70 Vir,b,70 Vir b,Radial Velocity,0,1,116.688,0.481,0.3988,291.4153317,7.416,49.62873313,116.7161021,0,0,0,202.107544,13.778788,17.91,4.97,V (Johnson),5495,1.09,1.89,06-12-2018,Lick Observatory,3.95
38,75 Cet,b,75 Cet b,Radial Velocity,0,1,691.9,2.1,0.117,42.98037108,3,76.07238194,98.63189652,0,0,0,38.039253,-1.034896,83.15,5.35,V (Johnson),4846,2.49,10.5,03-09-2015,Okayama Astrophysical Observatory,2.63
39,8 UMi,b,8 UMi b,Radial Velocity,0,1,93.4,0.49,0.06,61.30028934,1.31,95.26442857,126.5544481,0,0,0,224.201477,74.900925,163.32,6.83,V (Johnson),4847,1.44,10.3,06-09-2018,Bohyunsan Optical Astronomical Observatory,2.57
40,81 Cet,b,81 Cet b,Radial Velocity,0,1,952.7,2.5,0.206,56.56989817,5.3,330.288096,34.54281511,0,0,0,39.424168,-3.396175,101.53,5.65,V (Johnson),4785,2.4,11,14-05-2014,Okayama Astrophysical Observatory,2.35
41,91 Aqr,b,91 Aqr b,Radial Velocity,0,1,181.4,0.7,0.027,48.85504043,3.2,135.7226326,200.331129,0,0,0,348.9729,-9.087737,44.08,4.25,V (Johnson),4665,1.4,11,14-05-2014,Lick Observatory,2.52
42,AB Pic,b,AB Pic b,Imaging,0,1,21.50334236,260,109.5325093,39.80891877,13.5,256.7547488,225.0229155,0,0,0,94.803802,-58.05431,50.12,9.128,V (Johnson),94.5580532,215.0421515,309.5560666,14-05-2014,Paranal Observatory,4.44
43,BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,1,481.9,1.3,0.2,200.2589781,6.4,213.2577083,147.700918,0,0,0,177.564804,2.760142,2618,9.58,V (Johnson),4095,1.14,32.35,15-06-2017,Multiple Observatories,1.89
44,BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,1,268.94,0.78,0.29,117.5608131,1.04,94.40983355,272.9065272,0,0,0,318.399963,14.689387,49.42,9.63,V (Johnson),4864,0.49,0.86,06-09-2018,McDonald Observatory,4.26
45,BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,1,153.22,0.576,0.001,257.6213109,1.061,192.218543,154.2100096,0,0,0,176.482174,14.616381,774,10.31,V (Johnson),4649,1.08,8.95,04-02-2016,Roque de los Muchachos Observatory,2.61
46,BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,1,137.48,0.539,0.26,109.0766694,1.11,181.240314,203.902474,0,0,0,240.095566,15.54693,431.61,9.046,V (Johnson),4796,1.1,14.7,14-05-2014,McDonald Observatory,2.8
47,BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2,379.63,1.05,0.15,43.45064769,55.59,96.91733973,256.2306788,0,0,0,154.18691,19.891409,1670.85,9.75,V (Johnson),4259,10.83,71.02,06-09-2018,McDonald Observatory,1.77
48,BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2,621.99,2.01,0.18,227.4159706,12.47,115.1478344,24.96590481,0,0,0,154.18691,19.891409,1670.85,9.75,V (Johnson),4259,10.83,71.02,14-05-2014,McDonald Observatory,1.77
49,BD+20 274,b,BD+20 274 b,Radial Velocity,0,1,578.2,1.3,0.21,167.0249115,4.2,122.1003657,63.13707801,0,0,0,25.920324,21.005314,1383.85,9.36,V (Johnson),4296,0.8,17.3,18-09-2015,McDonald Observatory,1.99
50,BD+20 594,b,BD+20 594 b,Transit,0,1,41.6855,117.229593,0,89.55,0.07,0.23,270.31204,0,0,1,53.650967,20.599232,180.39,11.038,V (Johnson),5766,1.67,1.08,26-04-2018,K2,4.5
51,BD+48 738,b,BD+48 738 b,Radial Velocity,0,1,392.6,1,0.2,134.3467137,0.91,280.9076251,208.578435,0,0,0,40.710224,49.58696,892.17,9.14,V (Johnson),4414,0.74,11,13-08-2015,McDonald Observatory,2.24
52,BD+48 740,b,BD+48 740 b,Radial Velocity,0,1,733,1.7,0.76,326.6501303,1.7,19.62303464,298.6446502,0,0,0,40.742569,48.930061,678.94,8.699,V (Johnson),4534,1.09,10.33,01-02-2018,Multiple Observatories,2.48
53,BD+49 828,b,BD+49 828 b,Radial Velocity,0,1,2590,4.2,0.35,226.3476295,1.6,206.4643812,142.8317656,0,0,0,45.640529,49.730011,447.59,9.38,V (Johnson),4943,1.52,7.6,05-02-2015,McDonald Observatory,2.85
54,BD-06 1339,b,BD-06 1339 b,Radial Velocity,0,2,3.8728,0.0428,0,150.5102107,0.027,110.5367524,147.3562486,0,0,0,88.251183,-5.994844,20.28,9.7,V (Johnson),4324,0.7,221.3795448,14-05-2014,La Silla Observatory,4.74
55,BD-06 1339,c,BD-06 1339 c,Radial Velocity,0,2,125.94,0.435,0.31,78.83505027,0.17,278.0353561,180.7453905,0,0,0,88.251183,-5.994844,20.28,9.7,V (Johnson),4324,0.7,295.047713,14-05-2014,La Silla Observatory,4.74
56,BD-08 2823,b,BD-08 2823 b,Radial Velocity,0,2,5.6,0.06,0.15,283.0390516,0.04,50.21965016,49.85380211,0,0,0,150.198837,-9.51668,41.38,9.88,V (Johnson),4816,0.5,0.71,06-09-2018,La Silla Observatory,4.43
57,BD-08 2823,c,BD-08 2823 c,Radial Velocity,0,2,237.6,0.68,0.19,301.6142566,0.33,319.0756493,167.5535115,0,0,0,150.198837,-9.51668,41.38,9.88,V (Johnson),4816,0.5,0.71,14-05-2014,La Silla Observatory,4.43
58,BD-10 3166,b,BD-10 3166 b,Radial Velocity,0,1,3.48777,0.04,0.02,146.2595091,0.59,232.9230025,67.69664712,0,0,0,164.620003,-10.770376,84.61,10.08,V (Johnson),5393,1.47,0.91,06-09-2018,W. M. Keck Observatory,4.69
59,BD-11 4672,b,BD-11 4672 b,Radial Velocity,0,1,1667,2.28,0.05,174.6274595,0.53,280.7995842,8.069576264,0,0,0,278.370148,-11.636039,27.3,9.99,V (Johnson),4475,0.57,0.52,08-01-2015,La Silla Observatory,4.1
60,BD-13 2130,b,BD-13 2130 b,Radial Velocity,0,1,714.29999,1.66,0.21,250.8032355,9.78,184.6666023,193.4571753,0,0,0,114.288458,-13.906639,948.75,9.45,V (Johnson),4545,2.12,19.17,06-09-2018,La Silla Observatory,2.2
61,BD-17 63,b,BD-17 63 b,Radial Velocity,0,1,655.6,1.34,0.54,271.6791673,5.1,289.536696,265.4401686,0,0,0,7.142942,-16.226345,34.49,9.566,V (Johnson),4714,0.74,0.69,14-05-2014,La Silla Observatory,4.26
62,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,0,1,10037.5,2.6,109.3460439,111.5115176,10.5,113.9357848,148.521998,0,0,0,224.620833,10.228611,23.1,26.34561791,171.679992,580.5,0.02,299.1892072,14-05-2014,W. M. Keck Observatory,4.72
63,CHXR 73,b,CHXR 73 b,Imaging,0,1,128.8516867,210,174.3340856,221.1140615,12.569,70.5034195,145.1863059,0,0,0,166.619893,-77.625877,191.05,152.2732313,223.7847321,170.7068821,0.35,170.3589822,14-05-2014,Hubble Space Telescope,285.1135215
64,CI Tau,b,CI Tau b,Radial Velocity,0,1,8.9891,110.4680124,0.25,50.5,11.6,78.95602865,233.3343754,0,0,0,68.466728,22.841696,158,12.939,V (Johnson),257.9917226,0.9,24.22690447,27-06-2019,Multiple Observatories,172.8572043
65,CT Cha,b,CT Cha b,Imaging,0,1,162.7409867,440,178.4522077,144.9510184,17,2.2,66.48390416,0,0,0,166.037877,-76.455383,165,314.3210648,7.902745308,4.585488846,174.1507851,74.75124206,14-05-2014,Paranal Observatory,46.91334407
66,CoRoT-1,b,CoRoT-1 b,Transit,0,1,1.5089557,108.2400169,0,85.1,1.03,1.49,0.38,0,0,0,102.079885,-3.102147,805.31,13.6,V (Johnson),5950,0.95,1.11,14-05-2014,CoRoT,4.25
67,CoRoT-10,b,CoRoT-10 b,Transit,0,1,13.2406,0.1055,0.53,88.55,2.75,0.97,3.7,0,0,0,291.063708,0.746143,345,15.22,V (Johnson),5075,0.89,0.79,14-05-2014,CoRoT,4.65
68,CoRoT-11,b,CoRoT-11 b,Transit,0,1,2.99433,0.0436,0,83.17,2.33,1.43,0.99,0,0,0,280.687263,5.937688,560,12.939,V (Johnson),6440,1.27,1.37,14-05-2014,CoRoT,4.22
69,CoRoT-12,b,CoRoT-12 b,Transit,0,1,2.828042,0.04016,0.07,85.48,0.917,1.44,0.411,0,0,0,100.765677,-1.296439,1150,15.515,V (Johnson),5675,1.08,1.12,14-05-2014,CoRoT,4.38
70,CoRoT-13,b,CoRoT-13 b,Transit,0,1,4.03519,0.051,0,88.02,1.308,0.885,2.34,0,0,0,102.721137,-5.086445,1060,15.039,V (Johnson),5945,1.09,1.01,14-05-2014,CoRoT,4.46
71,CoRoT-14,b,CoRoT-14 b,Transit,0,1,1.51214,0.027,0,79.6,7.6,1.09,7.3,0,0,0,103.424211,-5.536037,1340,16.033,V (Johnson),6035,1.13,1.21,14-05-2014,CoRoT,4.35
72,CoRoT-16,b,CoRoT-16 b,Transit,0,1,5.35227,0.0618,0.33,85.01,0.535,1.17,0.44,0,0,0,278.524691,-6.002595,840,15.63,V (Johnson),5650,1.1,1.19,14-05-2014,CoRoT,4.36
73,CoRoT-17,b,CoRoT-17 b,Transit,0,1,3.7681,0.0461,0,88.34,2.43,1.02,2.82,0,0,0,278.699254,-6.612234,920,15.46,V (Johnson),5740,1.04,1.59,14-05-2014,CoRoT,4.4
74,CoRoT-18,b,CoRoT-18 b,Transit,0,1,1.9000693,0.0295,0.08,86.5,3.47,1.31,2.2,0,0,0,98.17241,-0.031586,870,15,V (Johnson),5440,0.95,1,14-05-2014,CoRoT,4.4
75,CoRoT-19,b,CoRoT-19 b,Transit,0,1,3.89713,0.0518,0.047,88,1.11,1.29,0.71,0,0,0,97.033582,-0.170681,770,14.007,V (Johnson),6090,1.21,1.65,14-05-2014,CoRoT,4.07
76,CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.7429935,0.02798,0.0143,88.08,3.47,1.466,1.47,1,0,0,291.777056,1.383714,200,12.57,V (Johnson),5625,0.96,0.91,14-05-2014,CoRoT,4.53
77,CoRoT-20,b,CoRoT-20 b,Transit,0,2,9.24285,0.09,0.59,88.21,4.3,189.4650122,143.9605346,0,0,0,97.720408,0.226919,864.31,14.66,V (Johnson),330.3310191,1.14,243.2173244,19-07-2018,CoRoT,4.35
78,CoRoT-20,c,CoRoT-20 c,Radial Velocity,0,2,1675,2.9,0.6,191.621895,17,116.6648076,312.764952,0,0,0,97.720408,0.226919,864.31,14.66,V (Johnson),141.2972046,1.14,22.13376769,19-07-2018,Multiple Observatories,4.35
79,CoRoT-21,b,CoRoT-21 b,Transit,0,1,2.72474,0.0417,0,86.8,2.26,1.3,1.36,0,0,0,101.05245,-0.29913,1398.83,16,V (Johnson),6200,1.29,1.95,06-12-2018,CoRoT,3.7
80,CoRoT-22,b,CoRoT-22 b,Transit,0,1,9.75598,0.092,0.077,89.749,0.038,0.435,0.249,0,0,0,280.667115,6.219136,592,13.944,V (Johnson),5939,1.1,1.14,21-08-2014,CoRoT,4.36
81,CoRoT-23,b,CoRoT-23 b,Transit,0,1,3.6313,0.048,0.16,85.7,2.8,1.05,3,0,0,0,279.782615,4.357806,600,15.63,V (Johnson),5900,1.14,1.61,14-05-2014,CoRoT,4.3
82,CoRoT-24,b,CoRoT-24 b,Transit,0,2,5.1134,0.056,0,86.5,0.018,0.33,0.9,0,0,0,101.922547,-3.719301,600,223.6793041,21.70386688,4950,0.91,0.86,31-05-2018,CoRoT,4.55
83,CoRoT-24,c,CoRoT-24 c,Transit,0,2,11.759,0.098,0,89,0.088,0.44,1.3,0,0,0,101.922547,-3.719301,600,117.7176085,66.33431105,4950,0.91,0.86,11-06-2014,CoRoT,4.55
84,CoRoT-25,b,CoRoT-25 b,Transit,0,1,4.86069,0.0578,0,84.5,0.27,1.08,0.15,0,0,0,280.629662,6.513829,1000,164.2249174,175.7606509,6040,1.09,1.19,14-05-2014,CoRoT,4.31
85,CoRoT-26,b,CoRoT-26 b,Transit,0,1,4.20474,0.0526,0,86.8,0.52,1.26,0.28,0,0,0,279.750514,6.969787,1670,161.362346,240.8897183,5590,1.09,1.79,14-05-2014,CoRoT,3.99
86,CoRoT-27,b,CoRoT-27 b,Transit,0,1,3.57532,0.0476,0.065,86.7,10.39,1.007,12.6,0,0,0,278.495813,5.538462,1035.15,15.54,V (Johnson),5900,1.05,1.08,14-05-2014,CoRoT,4.4
87,CoRoT-28,b,CoRoT-28 b,Transit,0,1,5.20851,0.0603,0.047,88.1,0.484,0.955,0.69,0,0,0,278.688338,5.57373,560,133.3030802,24.78689819,5150,1.01,1.78,16-04-2015,CoRoT,3.6
88,CoRoT-29,b,CoRoT-29 b,Transit,0,1,2.85057,0.0386,0.082,87.3,0.85,0.9,1.45,0,0,0,278.902103,6.479651,765,139.8963228,11.23362327,5260,0.97,0.9,16-04-2015,CoRoT,4.3
89,CoRoT-3,b,CoRoT-3 b,Transit,0,1,4.2568,162.331555,0,85.9,21.66,1.01,26.4,0,0,0,292.055263,0.12182,680,13.292,V (Johnson),6740,1.37,1.56,14-05-2014,CoRoT,4.22
90,CoRoT-4,b,CoRoT-4 b,Transit,0,1,9.20205,0.09,0,90,0.72,1.19,0.525,0,0,0,102.194663,-0.672774,741.6,197.5529622,174.2487539,6190,1.16,1.17,14-05-2014,CoRoT,4.41
91,CoRoT-5,b,CoRoT-5 b,Transit,0,1,4.0378962,0.04947,0.09,85.83,0.467,1.388,0.217,0,0,0,101.277254,0.815239,904.65,128.4004052,44.14475884,6100,1,1.19,14-05-2014,CoRoT,4.19
92,CoRoT-6,b,CoRoT-6 b,Transit,0,1,8.886593,0.0855,0.1,89.07,2.96,1.166,2.32,0,0,0,281.072525,6.663194,657.24,13.912,V (Johnson),6090,1.05,1.02,14-05-2014,CoRoT,4.43
93,CoRoT-7,b,CoRoT-7 b,Transit,0,2,0.85359163,107.2789128,0,80.1,0.01,0.15,314.476054,0,0,0,100.956125,-1.063033,160.64,11.668,V (Johnson),5275,0.82,0.83,06-12-2018,CoRoT,4.5
94,CoRoT-7,c,CoRoT-7 c,Radial Velocity,0,2,3.698,0.046,0,80,0.02643,4.746162982,17.56968753,0,0,0,100.956125,-1.063033,160.64,11.668,V (Johnson),5275,0.82,0.83,10-09-2015,CoRoT,4.5
95,CoRoT-8,b,CoRoT-8 b,Transit,0,1,6.21229,0.063,0,88.4,0.22,0.57,1.6,0,0,0,291.588518,1.426452,380,14.8,V (Johnson),5080,0.88,0.77,14-05-2014,CoRoT,4.58
96,CoRoT-9,b,CoRoT-9 b,Transit,0,1,95.272656,0.4021,0.133,89.9,0.84,1.066,0.86,0,0,0,280.786712,6.204172,417.89,13.69,V (Johnson),5625,0.96,0.96,14-12-2017,CoRoT,4.54
97,CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,0,1,6.71837,0.071,264.2357846,89,0.15,0.57,1.1,0,0,0,100.195183,9.257431,586.2,259.9135106,201.6366886,5970,1.08,0.79,15-09-2017,CoRoT,4.67
98,DE CVn,b,DE CVn b,Eclipse Timing Variations,0,1,4098.1,5.75,0,86,12.0293,158.6343119,269.6332206,0,0,0,201.721958,45.546303,30.55,320.6086799,3.087683407,204.7521405,0.51,27.28598384,11-07-2019,Multiple Facilities,264.5311939
99,DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,0,1,246.36,0.36,0.345,56.6,28.5,202.3102247,62.46766676,0,0,0,125.76305,-49.200359,20.77,113.7947129,44.02306495,180.8935201,0.07,11.25696629,14-05-2014,Paranal Observatory,68.55611658
100,DH Tau,b,DH Tau b,Imaging,0,1,102.1170767,330,150.1238956,328.1044934,11,143.2607616,247.9583427,0,0,0,67.423158,26.54952,140,161.7694912,60.7790781,307.3374898,0.33,0.27,14-05-2014,Subaru Telescope,321.4433864
101,DP Leo,b,DP Leo b,Eclipse Timing Variations,0,1,10220,8.19,0.39,74.84907883,6.05,244.7983488,206.4169694,0,0,0,169.316667,17.961417,305.06,250.3899895,271.0268113,13500,79.69991891,0.01,14-05-2014,Yunnan Astronomical Observatory,122.0613894
102,DS Tuc A,b,DS Tuc A b,Transit,0,1,8.138268,104.7298048,0,89.5,64.65625887,0.509,191.2218546,0,0,0,354.91449,-69.195747,44.12,8.469,V (Johnson),5428,1.01,0.96,11-07-2019,Transiting Exoplanet Survey Satellite (TESS),4.6
103,EPIC 201238110,b,EPIC 201238110 b,Transit,0,1,28.1656,101.7936882,102.5352904,33.68281824,13.67064565,0.167,9.414085489,0,0,1,179.705933,-3.389389,159.98,14.904,Kepler-band,7.694166051,0.41,216.3801592,13-06-2019,K2,26.17961796
104,EPIC 201497682,b,EPIC 201497682 b,Transit,0,1,2.13174,256.4386128,125.3012725,85.46811143,262.7340998,0.062,59.070487,0,0,1,168.936646,0.488114,254.88,14.102,V (Johnson),9.090707866,0.78,288.768259,13-06-2019,K2,59.47898411
105,K2-166,c,EPIC 201615463 c,Transit,0,2,3.80464,37.70537266,98.43819086,4.909093123,280.4795521,0.109,3.878393992,0,0,1,185.188293,2.282436,481,12.074,V (Johnson),300.6435302,1.07,251.5536489,13-06-2019,K2,4.09
106,K2-16,d,EPIC 201754305 d,Transit,0,3,2.71578,153.3110067,228.0592116,288.6944044,237.6278965,0.092,72.7879717,0,0,1,175.09726,4.55734,338.19,14.67,V (Johnson),170.0140299,0.67,227.8925716,13-06-2019,K2,4.63
107,K2-50,c,EPIC 201833600 c,Transit,0,2,3.96151,240.2546383,203.353508,316.2836137,329.435197,0.089,300.5734136,0,0,1,169.483627,5.988378,259.33,14.717,V (Johnson),312.2261191,0.61,130.8396751,13-06-2019,K2,4.74
108,EPIC 201841433,b,EPIC 201841433 b,Transit,0,1,4.16959,327.822484,282.2717366,270.7152747,162.7277317,0.098,85.40886104,0,0,1,175.206772,6.134857,441.94,14.867,V (Johnson),252.2149131,0.8,235.6280587,13-06-2019,K2,234.0232227
