DOY,Dew Point (°C),Surface Air Temp (°C),Surface pressure (mB),Water Partial Pressure (mB),Relative Humidity (%),Sol,Solar_Longitude_LS,Relative Humidity,Vapour Pressure (mB)
77,-0.6,21.5,904.5,6.0,23,109.0,357.36,0.23,26.08695652173913
78,-3.2,22.4,902.5,5.0,18,110.0,357.88,0.18,27.777777777777782
79,-0.6,21.5,900.0,6.0,23,111.0,358.4,0.23,26.08695652173913
80,0.9,15.9,900.1,6.6,36,112.0,358.91,0.36,18.33333333333333
81,0.3,13.2,901.4,6.3,41,113.0,359.43,0.41,15.365853658536587
82,0.2,16.7,904.7,6.3,33,114.0,359.94,0.33,19.09090909090909
83,1.9,16.8,902.4,7.1,37,115.0,0.45,0.37,19.18918918918919
84,-6.7,18.3,908.0,3.8,18,116.0,0.94,0.18,21.11111111111111
85,-14.2,22.0,904.9,2.2,8,117.0,1.45,0.08,27.5
86,-9.7,21.7,901.2,3.1,11,118.0,1.97,0.11,28.181818181818183
87,3.5,19.6,901.9,8.0,34,119.0,2.49,0.34,23.529411764705877
88,-2.2,17.3,904.3,5.3,26,120.0,2.98,0.26,20.384615384615387
89,-9.8,18.6,906.2,3.0,14,121.0,3.51,0.14,21.428571428571427
90,-8.5,18.7,905.5,3.3,15,122.0,4.02,0.15,22.0
91,-7.0,20.1,905.3,3.7,15,122.0,227.85151244744569,0.15,24.66666666666667
92,-6.9,23.0,900.6,3.8,13,105.89739537212596,227.85151244744569,0.13,29.23076923076923
93,3.8,19.0,895.9,8.1,36,105.89739537212596,227.85151244744569,0.36,22.5
94,1.4,19.6,901.7,6.9,30,105.89739537212596,227.85151244744569,0.3,23.000000000000004
95,1.2,19.5,900.2,6.8,29,127.0,227.85151244744569,0.29,23.448275862068968
96,3.0,16.5,898.8,7.7,40,128.0,227.85151244744569,0.4,19.25
97,-3.7,22.3,903.0,4.8,17,129.0,227.85151244744569,0.17,28.23529411764705
98,-2.8,25.2,907.4,5.1,15,130.0,227.85151244744569,0.15,34.0
99,4.4,27.3,904.9,8.5,23,131.0,227.85151244744569,0.23,36.95652173913043
100,-5.0,17.6,897.9,4.3,21,132.0,227.85151244744569,0.21,20.476190476190478
101,-15.5,19.1,903.6,1.9,8,133.0,227.85151244744569,0.08,23.75
102,-1.5,18.0,897.0,5.6,27,134.0,227.85151244744569,0.27,20.740740740740737
103,-6.9,18.7,896.5,3.8,17,135.0,227.85151244744569,0.17,22.352941176470583
104,-4.2,23.1,901.8,4.6,16,136.0,227.85151244744569,0.16,28.75
105,0.5,24.7,896.7,6.5,20,136.0,227.85151244744569,0.2,32.5
106,0.7,22.7,894.3,6.5,23,137.0,227.85151244744569,0.23,28.26086956521739
107,3.6,16.2,898.3,8.0,43,138.0,227.85151244744569,0.43,18.6046511627907
108,-7.3,24.3,906.4,3.7,12,139.0,227.85151244744569,0.12,30.833333333333336
109,-2.8,27.3,906.5,5.1,14,140.0,227.85151244744569,0.14,36.428571428571416
110,-6.9,29.8,899.0,3.8,8,140.0,227.85151244744569,0.08,47.5
111,4.1,25.5,895.2,8.3,25,142.0,227.85151244744569,0.25,33.2
112,-1.5,24.1,899.2,5.6,18,143.0,227.85151244744569,0.18,31.11111111111111
113,0.8,22.3,902.7,6.6,24,144.0,227.85151244744569,0.24,27.5
114,-4.2,28.0,901.8,4.6,12,145.0,227.85151244744569,0.12,38.33333333333333
115,-2.6,31.2,900.9,5.2,11,146.0,227.85151244744569,0.11,47.27272727272727
116,-0.6,32.6,900.6,6.0,12,147.0,227.85151244744569,0.12,50.0
117,-1.4,32.3,898.8,5.7,11,148.0,227.85151244744569,0.11,51.81818181818182
118,-2.3,31.4,896.7,5.3,11,149.0,227.85151244744569,0.11,48.18181818181818
119,-1.9,27.3,895.0,5.4,14,150.0,227.85151244744569,0.14,38.57142857142857
120,8.7,12.3,895.0,11.3,78,151.0,227.85151244744569,0.78,14.487179487179489
121,3.5,20.1,895.6,8.0,33,152.0,227.85151244744569,0.33,24.24242424242424
122,-4.9,22.0,901.5,4.4,16,152.0,227.85151244744569,0.16,27.5
123,-8.3,26.1,900.2,3.4,10,105.89739537212596,227.85151244744569,0.1,34.0
124,-6.5,28.5,899.1,3.9,9,105.89739537212596,227.85151244744569,0.09,43.33333333333334
125,-8.6,28.9,896.2,3.3,8,156.0,227.85151244744569,0.08,41.25
126,-3.0,25.6,894.5,5.1,15,156.0,227.85151244744569,0.15,34.0
127,0.8,20.8,896.9,6.6,26,158.0,227.85151244744569,0.26,25.384615384615387
128,2.7,26.0,898.5,7.5,22,158.0,227.85151244744569,0.22,34.09090909090909
129,-1.4,28.4,896.5,5.7,14,159.0,227.85151244744569,0.14,40.714285714285715
130,3.3,25.0,892.1,7.9,24,161.0,227.85151244744569,0.24,32.91666666666667
131,9.5,15.9,899.2,11.9,66,162.0,227.85151244744569,0.66,18.03030303030303
132,0.5,25.7,899.5,6.5,19,162.0,227.85151244744569,0.19,34.21052631578947
133,-1.5,29.0,899.5,5.6,13,164.0,227.85151244744569,0.13,43.07692307692307
134,-0.4,30.3,900.0,6.1,14,165.0,227.85151244744569,0.14,43.57142857142857
135,-1.2,30.0,900.2,5.7,13,166.0,227.85151244744569,0.13,43.846153846153854
