Deep Space Network Station (DSN),Year,DOY,Time_Minute,Dew Point (°C),Surface Air Temp (°C),Surface pressure (mB),Water Partial Pressure (mB),Relative Humidity (%)
60,2018,1,0,0,6.8,941.3,6.2,62
60,2018,1,30,-0.2,6.5,941.4,6.1,62
60,2018,1,100,-1.2,6.7,941.2,5.7,57
60,2018,1,130,-2,6.6,941.3,5.4,54
60,2018,1,200,-2.6,6,941.7,5.1,54
60,2018,1,230,-3.6,6.5,941.9,4.8,49
60,2018,1,300,-5,7,941.9,4.3,42
60,2018,1,330,-4.4,6,941.8,4.5,47
60,2018,1,400,-4.6,6.1,941.6,4.5,46
60,2018,1,430,-5.7,6.8,941.2,4.1,41
60,2018,1,500,-5.4,6.5,941.3,4.2,43
60,2018,1,530,-5.3,6.8,941.2,4.2,42
60,2018,1,600,-5.8,6.7,941.5,4.1,41
60,2018,1,630,-6.8,7,941.6,3.8,37
60,2018,1,700,-8,7,941.7,3.4,34
60,2018,1,730,-6.5,5.2,941.8,3.8,43
60,2018,1,800,-3.8,2,942,4.7,66
60,2018,1,830,-3.6,2.1,942,4.8,66
60,2018,1,900,-4.4,4.4,942.3,4.5,53
60,2018,1,930,-6.8,7.9,942.8,3.8,35
60,2018,1,1000,-7.7,9.6,942.9,3.6,29
60,2018,1,1030,-9,10.2,942.6,3.2,25
60,2018,1,1100,-2.4,9.4,942.6,5.2,44
60,2018,1,1130,-1.5,9.6,942.1,5.6,46
60,2018,1,1200,-1.3,9.7,941.6,5.7,46
60,2018,1,1230,-1.7,9.9,941.8,5.5,44
60,2018,1,1300,0.4,10.5,941,6.4,50
60,2018,1,1330,0.6,10.9,940.7,6.5,49
60,2018,1,1400,0.1,9.6,939.9,6.2,52
60,2018,1,1430,1.8,11.1,940.2,7,53
60,2018,1,1500,2.8,12.3,940.2,7.6,52
60,2018,1,1530,3.1,12,940.3,7.7,54
60,2018,1,1600,3.4,11.9,940.5,7.9,56
60,2018,1,1630,4,11.5,940.6,8.2,60
60,2018,1,1700,4,11.3,940.7,8.2,61
60,2018,1,1730,4.2,11.2,940.9,8.3,62
60,2018,1,1800,4.4,11.2,940.9,8.4,63
60,2018,1,1830,4.4,11.1,941.2,8.4,63
60,2018,1,1900,4.5,11.2,941.1,8.5,63
60,2018,1,1930,4.6,11.2,941.4,8.5,64
60,2018,1,2000,4.1,11.1,941.1,8.3,62
